resurvey,plot_id,species,taxongroup,layer,cover
0,50374,Knautia arvensis,Vascular plant,6,1
0,50374,Koeleria pyramidata,Vascular plant,6,3
0,50374,Lathyrus pratensis,Vascular plant,6,0.2
0,50374,Lembotropis nigricans,Vascular plant,6,0.2
0,50374,Leontodon hispidus,Vascular plant,6,1
0,50374,Ligustrum vulgare,Vascular plant,6,0.2
0,50374,Linum catharticum,Vascular plant,6,1
0,50374,Lotus corniculatus,Vascular plant,6,3
0,50374,Medicago falcata,Vascular plant,6,1
0,50374,Neotinea ustulata,Vascular plant,6,1
0,50374,Onobrychis viciifolia,Vascular plant,6,1
0,50374,Ononis spinosa,Vascular plant,6,3
0,50374,Pimpinella saxifraga,Vascular plant,6,1
0,50374,Plagiomnium affine aggr.,Moss,9,15
0,50374,Plagiomnium undulatum,Moss,9,3
0,50374,Plantago lanceolata,Vascular plant,6,1
0,50374,Plantago media,Vascular plant,6,1
0,50374,Poa pratensis aggr.,Vascular plant,6,3
0,50374,Polygala major,Vascular plant,6,1
0,50374,Primula veris,Vascular plant,6,1
0,50374,Prunella grandiflora,Vascular plant,6,15
0,50374,Ranunculus bulbosus,Vascular plant,6,1
0,50374,Ranunculus polyanthemos,Vascular plant,6,3
0,50374,Rhamnus cathartica,Vascular plant,6,0.2
0,50374,Rhodobryum roseum,Moss,9,3
0,50374,Rosa canina aggr.,Vascular plant,6,0.2
0,50374,Salvia pratensis,Vascular plant,6,15
0,50374,Sanguisorba minor aggr.,Vascular plant,6,1
0,50374,Sedum sexangulare,Vascular plant,6,15
0,50374,Seseli libanotis,Vascular plant,6,15
0,50374,Silene vulgaris,Vascular plant,6,0.2
0,50374,Tanacetum corymbosum,Vascular plant,6,1
0,50374,Thesium linophyllon,Vascular plant,6,1
0,50374,Thuidium delicatulum,Moss,9,3
0,50374,Thymus species,Vascular plant,6,1
0,50374,Verbascum nigrum,Vascular plant,6,0.2
0,50374,Veronica chamaedrys aggr.,Vascular plant,6,1
0,50374,Viola hirta,Vascular plant,6,3
0,50384,Achillea millefolium aggr.,Vascular plant,6,1
0,50384,Anthyllis vulneraria,Vascular plant,6,1
0,50384,Arabis hirsuta aggr.,Vascular plant,6,1
0,50384,Arenaria serpyllifolia,Vascular plant,6,1
0,50384,Arrhenatherum elatius,Vascular plant,6,3
0,50384,Bromopsis erecta,Vascular plant,6,62
0,50384,Buphthalmum salicifolium,Vascular plant,6,1
0,50384,Carex caryophyllea,Vascular plant,6,1
0,50384,Centaurea scabiosa,Vascular plant,6,3
0,50384,Cirsium pannonicum,Vascular plant,6,15
0,50384,Dactylis glomerata,Vascular plant,6,1
0,50384,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50384,Euphorbia cyparissias,Vascular plant,6,1
0,50384,Festuca stricta subsp. sulcata,Vascular plant,6,3
0,50384,Fragaria species,Vascular plant,6,1
0,50384,Helianthemum nummularium subsp. obscurum,Vascular plant,6,1
0,50384,Hylocomiadelphus triquetrus,Moss,9,1
0,50384,Inula salicina,Vascular plant,6,1
0,50384,Knautia arvensis,Vascular plant,6,1
0,50384,Leontodon hispidus,Vascular plant,6,1
0,50384,Leucanthemum vulgare aggr.,Vascular plant,6,1
0,50384,Medicago x varia,Vascular plant,6,1
0,50384,Onobrychis viciifolia,Vascular plant,6,1
0,50384,Orobanche species,Vascular plant,6,0.2
0,50384,Plantago lanceolata,Vascular plant,6,1
0,50384,Plantago media,Vascular plant,6,1
0,50384,Polygala major,Vascular plant,6,1
0,50384,Ranunculus polyanthemos,Vascular plant,6,1
0,50384,Rhytidium rugosum,Moss,9,15
0,50384,Salvia pratensis,Vascular plant,6,3
0,50384,Salvia verticillata,Vascular plant,6,15
0,50384,Sanguisorba minor aggr.,Vascular plant,6,1
0,50384,Scabiosa ochroleuca,Vascular plant,6,1
0,50384,Silene nutans,Vascular plant,6,1
0,50384,Silene vulgaris,Vascular plant,6,1
0,50384,Syntrichia ruralis aggr.,Moss,9,3
0,50384,Tanacetum corymbosum,Vascular plant,6,1
0,50384,Tragopogon pratensis,Vascular plant,6,1
0,50384,Trifolium montanum,Vascular plant,6,1
0,50384,Trifolium pratense,Vascular plant,6,1
0,50384,Vicia cracca,Vascular plant,6,3
0,50384,Viola hirta,Vascular plant,6,1
0,50390,Achillea millefolium aggr.,Vascular plant,6,1
0,50390,Anthyllis vulneraria,Vascular plant,6,15
0,50390,Arabis hirsuta aggr.,Vascular plant,6,0.2
0,50390,Avenula pubescens,Vascular plant,6,1
0,50390,Bromopsis erecta,Vascular plant,6,62
0,50390,Buphthalmum salicifolium,Vascular plant,6,1
0,50390,Campanula patula aggr.,Vascular plant,6,1
0,50390,Carex ornithopoda,Vascular plant,6,1
0,50390,Carlina acaulis,Vascular plant,6,1
0,50390,Centaurea scabiosa,Vascular plant,6,1
0,50390,Cerastium fontanum subsp. vulgare,Vascular plant,6,1
0,50390,Crataegus monogyna,Vascular plant,6,0.2
0,50390,Dactylis glomerata,Vascular plant,6,1
0,50390,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50390,Festuca stricta subsp. sulcata,Vascular plant,6,15
0,50390,Homalothecium sericeum,Moss,9,37
0,50390,Hylocomiadelphus triquetrus,Moss,9,15
0,50390,Leontodon hispidus,Vascular plant,6,1
0,50390,Leucanthemum vulgare aggr.,Vascular plant,6,1
0,50390,Linum catharticum,Vascular plant,6,1
0,50390,Lotus corniculatus,Vascular plant,6,3
0,50390,Medicago lupulina,Vascular plant,6,15
0,50390,Neotinea ustulata,Vascular plant,6,1
0,50390,Onobrychis viciifolia,Vascular plant,6,1
0,50390,Orchis militaris,Vascular plant,6,1
0,50390,Pimpinella saxifraga,Vascular plant,6,1
0,50390,Plagiomnium undulatum,Moss,9,1
0,50390,Plantago lanceolata,Vascular plant,6,1
0,50390,Plantago media,Vascular plant,6,1
0,50390,Poa pratensis aggr.,Vascular plant,6,1
0,50390,Polygala major,Vascular plant,6,1
0,50390,Pseudoscleropodium purum,Moss,9,3
0,50390,Ranunculus acris aggr.,Vascular plant,6,0.2
0,50390,Ranunculus polyanthemos,Vascular plant,6,1
0,50390,Rhinanthus minor,Vascular plant,6,3
0,50390,Rumex acetosa,Vascular plant,6,1
0,50390,Salvia pratensis,Vascular plant,6,1
0,50390,Sanguisorba minor aggr.,Vascular plant,6,1
0,50390,Scabiosa species,Vascular plant,6,1
0,50390,Seseli libanotis,Vascular plant,6,0.2
0,50390,Silene vulgaris,Vascular plant,6,1
0,50390,Thuidium delicatulum,Moss,9,37
0,50390,Thymus species,Vascular plant,6,15
0,50390,Tragopogon pratensis,Vascular plant,6,1
0,50390,Trifolium montanum,Vascular plant,6,0.2
0,50390,Trifolium pratense,Vascular plant,6,1
0,50390,Vicia cracca,Vascular plant,6,1
0,50390,Viola hirta,Vascular plant,6,1
0,50589,Achillea millefolium aggr.,Vascular plant,6,3
0,50589,Arrhenatherum elatius,Vascular plant,6,1
0,50589,Artemisia santonicum,Vascular plant,6,3
0,50589,Bothriochloa ischaemum,Vascular plant,6,3
0,50589,Elytrigia repens aggr.,Vascular plant,6,1
0,50589,Festuca valesiaca aggr.,Vascular plant,6,87
0,50589,Fragaria viridis,Vascular plant,6,1
0,50589,Galatella cana,Vascular plant,6,10
0,50589,Galium verum,Vascular plant,6,10
0,50589,Hypericum perforatum,Vascular plant,6,1
0,50589,Knautia arvensis,Vascular plant,6,1
0,50589,Pimpinella saxifraga,Vascular plant,6,1
0,50589,Potentilla argentea,Vascular plant,6,1
0,50589,Scorzonera cana,Vascular plant,6,1
0,50592,Achillea millefolium aggr.,Vascular plant,6,3
0,50592,Agrostis gigantea,Vascular plant,6,3
0,50592,Arrhenatherum elatius,Vascular plant,6,1
0,50592,Bupleurum tenuissimum,Vascular plant,6,0.2
0,50592,Carex hirta,Vascular plant,6,1
0,50592,Carex praecox,Vascular plant,6,3
0,50592,Centaurea jacea aggr.,Vascular plant,6,3
0,50592,Cruciata laevipes,Vascular plant,6,1
0,50592,Dactylis glomerata,Vascular plant,6,3
0,50592,Daucus carota,Vascular plant,6,1
0,50592,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50592,Festuca valesiaca aggr.,Vascular plant,6,37
0,50592,Fragaria viridis,Vascular plant,6,3
0,50592,Galatella cana,Vascular plant,6,37
0,50592,Galium verum,Vascular plant,6,10
0,50592,Inula britannica,Vascular plant,6,1
0,50592,Koeleria pyramidata,Vascular plant,6,1
0,50592,Lotus corniculatus,Vascular plant,6,1
0,50592,Plantago lanceolata,Vascular plant,6,1
0,50592,Plantago maritima,Vascular plant,6,3
0,50592,Potentilla reptans,Vascular plant,6,1
0,50592,Pulicaria dysenterica,Vascular plant,6,3
0,50592,Serratula tinctoria,Vascular plant,6,3
0,50592,Stellaria graminea,Vascular plant,6,0.2
0,50592,Verbascum blattaria,Vascular plant,6,0.2
0,50595,Achillea millefolium aggr.,Vascular plant,6,1
0,50595,Alopecurus pratensis,Vascular plant,6,3
0,50595,Arrhenatherum elatius,Vascular plant,6,1
0,50595,Carex caryophyllea,Vascular plant,6,1
0,50595,Crataegus monogyna,Vascular plant,6,0.2
0,50595,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50595,Festuca valesiaca aggr.,Vascular plant,6,20
0,50595,Fragaria viridis,Vascular plant,6,3
0,50595,Galatella cana,Vascular plant,6,62
0,50595,Galium aparine,Vascular plant,6,0.2
0,50595,Galium verum,Vascular plant,6,3
0,50595,Hypericum perforatum,Vascular plant,6,1
0,50595,Inula britannica,Vascular plant,6,0.2
0,50595,Seseli annuum,Vascular plant,6,0.2
0,50595,Stellaria graminea,Vascular plant,6,1
0,50596,Achillea millefolium aggr.,Vascular plant,6,1
0,50596,Arrhenatherum elatius,Vascular plant,6,3
0,50596,Cuscuta epithymum,Vascular plant,6,3
0,50596,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50596,Festuca valesiaca aggr.,Vascular plant,6,10
0,50596,Filago germanica,Vascular plant,6,3
0,50596,Fragaria viridis,Vascular plant,6,3
0,50596,Galatella cana,Vascular plant,6,20
0,50596,Galium verum,Vascular plant,6,1
0,50596,Inula britannica,Vascular plant,6,0.2
0,50596,Peucedanum officinale,Vascular plant,6,62
0,50596,Phleum pratense,Vascular plant,6,1
0,50596,Prunus spinosa,Vascular plant,6,0.2
0,50596,Quercus robur,Vascular plant,6,0.2
0,51461,Aegonychon purpurocaeruleum,Vascular plant,6,1
0,51461,Allium flavum,Vascular plant,6,1
0,51461,Allium lusitanicum,Vascular plant,6,1
0,51461,Anemone sylvestris,Vascular plant,6,1
0,51461,Anthericum ramosum,Vascular plant,6,1
0,51461,Astragalus onobrychis,Vascular plant,6,1
0,51461,Campanula glomerata,Vascular plant,6,1
0,51461,Carex caryophyllea,Vascular plant,6,1
0,51461,Carex humilis,Vascular plant,6,62
0,51461,Centaurea scabiosa,Vascular plant,6,1
0,51461,Dactylis glomerata,Vascular plant,6,1
0,51461,Euphorbia cyparissias,Vascular plant,6,1
0,51461,Fragaria vesca,Vascular plant,6,1
0,51461,Galatella linosyris,Vascular plant,6,1
0,51461,Galium glaucum,Vascular plant,6,1
0,51461,Geranium sanguineum,Vascular plant,6,1
0,51461,Globularia bisnagarica,Vascular plant,6,1
0,51461,Helianthemum nummularium subsp. obscurum,Vascular plant,6,1
0,51461,Homalothecium lutescens,Moss,9,1
0,51461,Inula ensifolia,Vascular plant,6,15
0,51461,Lembotropis nigricans,Vascular plant,6,1
0,51461,Linum flavum,Vascular plant,6,1
0,51461,Lotus corniculatus,Vascular plant,6,1
0,51461,Medicago falcata,Vascular plant,6,1
0,51461,Onobrychis viciifolia,Vascular plant,6,1
0,51461,Peucedanum cervaria,Vascular plant,6,1
0,51461,Pulsatilla pratensis,Vascular plant,6,1
0,51461,Salvia pratensis,Vascular plant,6,1
0,51461,Stachys recta,Vascular plant,6,1
0,51461,Stipa pennata,Vascular plant,6,15
0,51461,Teucrium chamaedrys,Vascular plant,6,1
0,51461,Vincetoxicum hirundinaria,Vascular plant,6,1
0,51461,Viola hirta,Vascular plant,6,1
0,51550,Allium flavum,Vascular plant,6,1
0,51550,Allium lusitanicum,Vascular plant,6,1
0,51550,Alyssum alyssoides,Vascular plant,6,1
0,51550,Arenaria serpyllifolia,Vascular plant,6,1
0,51550,Arrhenatherum elatius,Vascular plant,6,1
0,51550,Asperula cynanchica,Vascular plant,6,1
0,51550,Asplenium ruta-muraria,Vascular plant,6,1
0,51550,Bupleurum falcatum,Vascular plant,6,1
0,51550,Centaurea stoebe,Vascular plant,6,1
0,51550,Clinopodium acinos,Vascular plant,6,1
0,51550,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,51550,Falcaria vulgaris,Vascular plant,6,1
0,51550,Festuca stricta subsp. sulcata,Vascular plant,6,3
0,51550,Festuca valesiaca aggr.,Vascular plant,6,10
0,51550,Galium verum,Vascular plant,6,1
0,51550,Jovibarba globifera,Vascular plant,6,10
0,51550,Koeleria macrantha,Vascular plant,6,1
0,51550,Lotus corniculatus,Vascular plant,6,1
0,51550,Minuartia rubra,Vascular plant,6,1
0,51550,Pimpinella saxifraga,Vascular plant,6,1
0,51550,Potentilla incana,Vascular plant,6,1
0,51550,Scabiosa ochroleuca,Vascular plant,6,1
0,51550,Sedum acre,Vascular plant,6,10
0,51550,Thymus odoratissimus aggr.,Vascular plant,6,10
0,51550,Thymus praecox,Vascular plant,6,10
0,51550,Veronica praecox,Vascular plant,6,1
0,51576,Alyssum alyssoides,Vascular plant,6,1
0,51576,Arenaria serpyllifolia,Vascular plant,6,1
0,51576,Astragalus onobrychis,Vascular plant,6,3
0,51576,Bromopsis inermis,Vascular plant,6,1
0,51576,Clinopodium acinos,Vascular plant,6,1
0,51576,Eryngium campestre,Vascular plant,6,3
0,51576,Festuca stricta subsp. sulcata,Vascular plant,6,1
0,51576,Festuca valesiaca aggr.,Vascular plant,6,62
0,51576,Holosteum umbellatum,Vascular plant,6,1
0,51576,Hypericum perforatum,Vascular plant,6,1
0,51576,Inula oculus-christi,Vascular plant,6,1
0,51576,Medicago falcata,Vascular plant,6,0.2
0,51576,Minuartia rubra,Vascular plant,6,1
0,51576,Potentilla incana,Vascular plant,6,1
0,51576,Salvia pratensis,Vascular plant,6,1
0,51576,Sedum acre,Vascular plant,6,3
0,51580,Alyssum alyssoides,Vascular plant,6,0.2
0,51580,Anthyllis vulneraria,Vascular plant,6,1
0,51580,Arenaria serpyllifolia,Vascular plant,6,1
0,51580,Arrhenatherum elatius,Vascular plant,6,1
0,51580,Artemisia campestris,Vascular plant,6,1
0,51580,Asperula cynanchica,Vascular plant,6,1
0,51580,Astragalus onobrychis,Vascular plant,6,1
0,51580,Avenula pubescens,Vascular plant,6,1
0,51580,Centaurea scabiosa,Vascular plant,6,1
0,51580,Centaurea stoebe,Vascular plant,6,1
0,51580,Clinopodium acinos,Vascular plant,6,1
0,51580,Dianthus carthusianorum aggr.,Vascular plant,6,3
0,51580,Echium vulgare,Vascular plant,6,0.2
0,51580,Elytrigia repens aggr.,Vascular plant,6,1
0,51580,Euphorbia cyparissias,Vascular plant,6,1
0,51580,Festuca stricta subsp. sulcata,Vascular plant,6,1
0,51580,Festuca valesiaca aggr.,Vascular plant,6,3
0,51580,Galium verum,Vascular plant,6,1
0,51580,Helictochloa pratensis,Vascular plant,6,1
0,51580,Jacobaea vulgaris,Vascular plant,6,1
0,51580,Lotus corniculatus,Vascular plant,6,1
0,51580,Medicago falcata,Vascular plant,6,1
0,51580,Melampyrum arvense,Vascular plant,6,1
0,51580,Minuartia setacea,Vascular plant,6,20
0,51580,Poa badensis aggr.,Vascular plant,6,1
0,51580,Poa pratensis aggr.,Vascular plant,6,1
0,51580,Potentilla incana,Vascular plant,6,20
0,51580,Scabiosa ochroleuca,Vascular plant,6,1
0,51580,Sedum acre,Vascular plant,6,3
0,51580,Sedum album,Vascular plant,6,1
0,51580,Silene otites aggr.,Vascular plant,6,1
0,51580,Stipa pennata,Vascular plant,6,1
0,51580,Teucrium chamaedrys,Vascular plant,6,3
0,51580,Thymus odoratissimus aggr.,Vascular plant,6,1
0,51580,Thymus praecox,Vascular plant,6,3
0,51580,Veronica prostrata,Vascular plant,6,1
0,51586,Alyssum montanum aggr.,Vascular plant,6,1
0,51586,Arenaria serpyllifolia,Vascular plant,6,1
0,51586,Arrhenatherum elatius,Vascular plant,6,1
0,51586,Asperula cynanchica,Vascular plant,6,1
0,51586,Clinopodium acinos,Vascular plant,6,1
0,51586,Convolvulus arvensis,Vascular plant,6,1
0,51586,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,51586,Echium vulgare,Vascular plant,6,1
0,51586,Euphorbia cyparissias,Vascular plant,6,3
0,51586,Festuca valesiaca aggr.,Vascular plant,6,20
0,51586,Galium verum,Vascular plant,6,1
0,51586,Koeleria macrantha,Vascular plant,6,10
0,51586,Minuartia rubra,Vascular plant,6,1
0,51586,Potentilla incana,Vascular plant,6,20
0,51586,Sanguisorba minor aggr.,Vascular plant,6,1
0,51586,Scabiosa ochroleuca,Vascular plant,6,1
0,51586,Sedum acre,Vascular plant,6,1
0,51586,Sedum album,Vascular plant,6,20
0,51586,Thymus odoratissimus aggr.,Vascular plant,6,3
0,51586,Thymus praecox,Vascular plant,6,1
0,51586,Vincetoxicum hirundinaria,Vascular plant,6,1
0,51590,Achillea pannonica,Vascular plant,6,1
0,51590,Alyssum alyssoides,Vascular plant,6,1
0,51590,Arenaria serpyllifolia,Vascular plant,6,1
0,51590,Arrhenatherum elatius,Vascular plant,6,1
0,51590,Astragalus austriacus,Vascular plant,6,1
0,51590,Bothriochloa ischaemum,Vascular plant,6,1
0,51590,Carduus nutans,Vascular plant,6,1
0,51590,Carlina vulgaris aggr.,Vascular plant,6,1
0,51590,Caucalis platycarpos,Vascular plant,6,1
0,51590,Centaurea stoebe,Vascular plant,6,1
0,51590,Dactylis glomerata,Vascular plant,6,1
0,51590,Dorycnium pentaphyllum,Vascular plant,6,1
0,51590,Elytrigia intermedia,Vascular plant,6,1
0,51590,Eryngium campestre,Vascular plant,6,1
0,51590,Falcaria vulgaris,Vascular plant,6,1
0,51590,Festuca stricta subsp. sulcata,Vascular plant,6,1
0,51590,Hypericum perforatum,Vascular plant,6,1
0,51590,Inula conyzae,Vascular plant,6,3
0,51590,Jacobaea vulgaris,Vascular plant,6,1
0,51590,Koeleria macrantha,Vascular plant,6,1
0,51590,Krascheninnikovia ceratoides,Vascular plant,6,1
0,51590,Potentilla incana,Vascular plant,6,1
0,51590,Rosa canina aggr.,Vascular plant,6,1
0,51590,Stipa capillata,Vascular plant,6,10
0,51590,Stipa pennata,Vascular plant,6,37
0,51590,Taraxacum serotinum,Vascular plant,6,1
0,51590,Thymus praecox,Vascular plant,6,1
0,51590,Viola arvensis,Vascular plant,6,1
0,51594,Achillea pannonica,Vascular plant,6,1
0,51594,Adonis vernalis,Vascular plant,6,1
0,51594,Agrimonia eupatoria,Vascular plant,6,1
0,51594,Allium sphaerocephalon,Vascular plant,6,1
0,51594,Anthericum ramosum,Vascular plant,6,1
0,51594,Arrhenatherum elatius,Vascular plant,6,1
0,51594,Asparagus officinalis aggr.,Vascular plant,6,1
0,51594,Asperula cynanchica,Vascular plant,6,1
0,51594,Astragalus onobrychis,Vascular plant,6,1
0,51594,Bupleurum falcatum,Vascular plant,6,1
0,51594,Calamagrostis epigejos,Vascular plant,6,1
0,51594,Carex caryophyllea,Vascular plant,6,1
0,51594,Centaurea scabiosa,Vascular plant,6,1
0,51594,Crambe tataria,Vascular plant,6,1
0,51594,Cytisus hirsutus,Vascular plant,6,3
0,51594,Dorycnium pentaphyllum,Vascular plant,6,20
0,51594,Eryngium campestre,Vascular plant,6,1
0,51594,Euphorbia esula,Vascular plant,6,1
0,51594,Festuca stricta subsp. sulcata,Vascular plant,6,20
0,51594,Filipendula vulgaris,Vascular plant,6,1
0,51594,Galatella linosyris,Vascular plant,6,1
0,51594,Geranium sanguineum,Vascular plant,6,3
0,51594,Linum catharticum,Vascular plant,6,1
0,51594,Medicago falcata,Vascular plant,6,1
0,51594,Onobrychis arenaria,Vascular plant,6,1
0,51594,Peucedanum cervaria,Vascular plant,6,10
0,51594,Pimpinella saxifraga,Vascular plant,6,1
0,51594,Plantago media,Vascular plant,6,1
0,51594,Polygala major,Vascular plant,6,1
0,51594,Polygala vulgaris,Vascular plant,6,1
0,51594,Ranunculus bulbosus,Vascular plant,6,1
0,51594,Salvia pratensis,Vascular plant,6,10
0,51594,Scabiosa ochroleuca,Vascular plant,6,1
0,51594,Stachys recta,Vascular plant,6,3
0,51594,Stipa pennata,Vascular plant,6,1
0,51594,Taraxacum species,Vascular plant,6,1
0,51594,Thalictrum minus,Vascular plant,6,1
0,51594,Trifolium montanum,Vascular plant,6,3
0,51594,Trifolium rubens,Vascular plant,6,1
0,51594,Veronica austriaca,Vascular plant,6,1
0,51594,Vicia tenuifolia,Vascular plant,6,3
0,51594,Viola hirta,Vascular plant,6,1
0,51594,Viola rupestris,Vascular plant,6,1
0,52217,Alopecurus pratensis,Vascular plant,0,20
0,52217,Carex acutiformis,Vascular plant,0,1
0,52217,Cirsium arvense,Vascular plant,0,3
0,52217,Galium aparine,Vascular plant,0,3
0,52217,Glyceria maxima,Vascular plant,0,1
0,52217,Leucojum aestivum,Vascular plant,0,3
0,52217,Lysimachia vulgaris,Vascular plant,0,1
0,52217,Myosoton aquaticum,Vascular plant,0,1
0,52217,Poa trivialis,Vascular plant,0,10
0,52217,Potentilla reptans,Vascular plant,0,1
0,52217,Ranunculus repens,Vascular plant,0,3
0,52217,Rumex obtusifolius,Vascular plant,0,1
0,52217,Symphytum officinale,Vascular plant,0,87
0,52217,Urtica dioica,Vascular plant,0,10
0,52225,Alopecurus pratensis,Vascular plant,0,3
0,52225,Argentina anserina,Vascular plant,0,1
0,52225,Calamagrostis epigejos,Vascular plant,0,62
0,52225,Carex filiformis,Vascular plant,0,3
0,52225,Carex praecox,Vascular plant,0,1
0,52225,Cirsium arvense,Vascular plant,0,3
0,52225,Colchicum autumnale,Vascular plant,0,37
0,52225,Dactylis glomerata,Vascular plant,0,1
0,52225,Deschampsia cespitosa aggr.,Vascular plant,0,1
0,52225,Equisetum arvense,Vascular plant,0,1
0,52225,Festuca rubra aggr.,Vascular plant,0,1
0,52225,Inula salicina,Vascular plant,0,37
0,52225,Leucanthemum vulgare aggr.,Vascular plant,0,3
0,52225,Linum catharticum,Vascular plant,0,1
0,52225,Lysimachia nummularia,Vascular plant,0,1
0,52225,Mentha species,Vascular plant,0,1
0,52225,Ophioglossum vulgatum,Vascular plant,0,10
0,52225,Plantago lanceolata,Vascular plant,0,1
0,52225,Poa pratensis aggr.,Vascular plant,0,10
0,52225,Populus alba,Vascular plant,0,1
0,52225,Prunella vulgaris,Vascular plant,0,3
0,52225,Ranunculus acris aggr.,Vascular plant,0,3
0,52225,Rhinanthus minor,Vascular plant,0,1
0,52225,Symphytum officinale,Vascular plant,0,1
0,52225,Thalictrum flavum,Vascular plant,0,1
0,52225,Vicia cracca,Vascular plant,0,1
0,52225,Viola pumila,Vascular plant,0,1
0,52231,Arrhenatherum elatius,Vascular plant,0,62
0,52231,Bromopsis erecta,Vascular plant,0,10
0,52231,Cerastium fontanum subsp. vulgare,Vascular plant,0,1
0,52231,Cirsium arvense,Vascular plant,0,1
0,52231,Dactylis glomerata,Vascular plant,0,10
0,52231,Euphorbia esula,Vascular plant,0,1
0,52231,Filipendula vulgaris,Vascular plant,0,1
0,52231,Galium aparine,Vascular plant,0,1
0,52231,Galium verum,Vascular plant,0,1
0,52231,Glechoma hederacea,Vascular plant,0,3
0,52231,Leucanthemum vulgare aggr.,Vascular plant,0,1
0,52231,Myosotis arvensis,Vascular plant,0,3
0,52231,Pimpinella major,Vascular plant,0,1
0,52231,Plantago media,Vascular plant,0,1
0,52231,Poa pratensis aggr.,Vascular plant,0,37
0,52231,Ranunculus acris aggr.,Vascular plant,0,1
0,52231,Ranunculus polyanthemos,Vascular plant,0,1
0,52231,Rhinanthus minor,Vascular plant,0,1
0,52231,Salvia pratensis,Vascular plant,0,1
0,52231,Schedonorus pratensis,Vascular plant,0,62
0,52231,Taraxacum sect. Taraxacum,Vascular plant,0,1
